Time,Position+AF8-x,Position+AF8-y,Metrics
8080.345361948,1,28,4.9484000206
8085.3556740284,2,28,4.883600235
8090.3662149906,3,28,4.4140000343
8094.3824391365,4,28,3.6538000107
8099.3876791,5,28,2.7699999809
8102.3863360882,5,29,3.5822000504
8103.3940219879,6,29,2.5202000141
8107.3925220966,7,29,1.6238000393
8112.3881399632,8,29,0.9581999779
8133.4302821159,8,28,0.712199986
8137.4484379292,8,27,0.5178499818
8140.4297180176,8,26,0.3683399856
8142.4436209202,9,26,0.1913399994
8160.4809350967,8,26,0.3683399856
8163.4660000801,7,26,0.6493999958
8166.4793989658,6,26,1.0485999584
8170.481085062,5,26,1.5506000519
8175.4659509659,4,26,2.0999999046
8178.477478981,3,26,2.6047000885
8182.49822402,2,26,2.9588000774
8186.4865059853,1,26,3.0782001019
8191.4938089848,0,26,2.9328999519
8192.4950330258,0,25,2.2678999901
8199.5192840099,+AC0-1,25,2.0051999092
8203.5293970108,+AC0-2,25,1.6238000393
8208.5152571201,+AC0-3,25,1.204300046
8212.5267210007,+AC0-4,25,0.8179600239
8217.5286040306,+AC0-5,25,0.5088199973
8221.5538599491,+AC0-6,25,0.2898800075
8224.5536820889,+AC0-7,25,0.1512500048
8229.5450570583,+AC0-8,25,0.0722730011
8233.574062109,+AC0-9,25,0.0316289999
8237.5763249397,+AC0-10,25,0.0126769999
8242.599050045,+AC0-11,25,0.0046533998
8245.5829510689,+AC0-12,25,0.0015644
8250.6139850617,+AC0-13,25,0
8256.6248409748,+AC0-14,25,0
8259.6139199734,+AC0-15,25,0
8263.6476581097,+AC0-16,25,0
8268.6141791344,+AC0-17,25,0
8271.6292390823,+AC0-18,25,0
8276.6367020607,+AC0-19,25,0
8299.6757640839,+AC0-19,24,0
8303.6812250614,+AC0-19,23,0
8306.6732671261,+AC0-19,22,0
8308.6748819351,+AC0-18,22,0
8330.7297921181,+AC0-17,22,0
8333.7505910397,+AC0-16,22,0
8336.7285809517,+AC0-15,22,0
8339.7378790379,+AC0-15,23,0
8341.7460069656,+AC0-14,23,0
8345.7838160992,+AC0-13,23,0
8350.773555994,+AC0-12,23,0
8355.7645881176,+AC0-11,23,0
8360.7722940445,+AC0-10,23,0
8362.7787880898,+AC0-10,24,0.0109409997
8363.7820949555,+AC0-9,24,0.0269409996
8367.8040599823,+AC0-8,24,0.060752999
8372.7950670719,+AC0-7,24,0.1254699975
8376.7967751026,+AC0-6,24,0.2373300046
8380.8238580227,+AC0-5,24,0.4111300111
8383.8218319416,+AC0-5,25,0.5088199973
8385.8253250122,+AC0-4,25,0.8179600239
8390.8352050781,+AC0-3,25,1.204300046
8393.8488349915,+AC0-2,25,1.6238000393
8397.8321499825,+AC0-1,25,2.0051999092
8402.8548569679,0,25,2.2678999901
8404.8567371368,0,26,2.9328999519
8410.8680009842,1,26,3.0782001019
8415.8851380348,2,26,2.9588000774
8418.8737099171,3,26,2.6047000885
8423.8791229725,4,26,2.0999999046
8425.8925709725,4,27,2.8006000519
8428.9009559155,5,27,2.095400095
8433.9060630798,6,27,1.4357999563
8437.9067630768,7,27,0.9010199904
8441.9023609161,8,27,0.5178499818
8463.9667711258,8,26,0.3683399856
8466.9742250443,8,25,0.2563099861
8470.9870250225,8,24,0.1744700074
8492.0897109509,7,24,0.3158200085
8495.086384058,6,24,0.5235700011
8499.11216712,5,24,0.7949200273
8503.1192190647,4,24,1.1053999662
8508.0996339321,3,24,1.4076000452
8513.1118609905,2,24,1.641800046
8518.1124739647,1,24,1.7537000179
8522.1264960766,0,24,1.7154999971
8530.1483309269,+AC0-1,24,1.5369999409
8531.1485729218,+AC0-1,23,0
8534.1394269466,+AC0-2,23,0
8539.1521229744,+AC0-3,23,0
8543.157763958,+AC0-4,23,0
